################ 159.65.134.117 ##########################
Start: 2021-06-25T12:05:10+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.4   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.7   0.3   2.1   0.8
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.8   0.8   0.7   1.0   0.2
  4.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
  5.|-- ae-13.r01.stocse01.se.bb.  0.0%     5    1.5   1.6   1.5   1.7   0.1
  6.|-- ae-7.r20.amstnl07.nl.bb.g  0.0%     5   52.0  37.7  25.6  52.0  12.1
  7.|-- ae-4.r21.vienat02.at.bb.g  0.0%     5   38.5  39.4  38.2  41.6   1.4
  8.|-- ae-0.r20.vienat02.at.bb.g  0.0%     5   40.0  39.6  39.1  40.2   0.5
  9.|-- ae-2.r21.mlanit02.it.bb.g  0.0%     5   44.2  44.5  44.1  45.1   0.4
 10.|-- ae-0.r20.mlanit02.it.bb.g  0.0%     5   47.8  45.2  42.4  48.1   2.7
 11.|-- ae-10.r22.sngpsi07.sg.bb. 20.0%     5  194.4 196.1 194.2 199.3   2.4
 12.|-- ae-2.r23.sngpsi07.sg.bb.g  0.0%     5  194.5 197.3 193.7 207.1   5.6
 13.|-- ae-1.a01.sngpsi07.sg.bb.g  0.0%     5  193.7 195.3 193.4 201.6   3.5
 14.|-- ae-1.digital-ocean.sngpsi  0.0%     5  267.8 267.9 267.4 269.2   0.8
 15.|-- 138.197.245.13             0.0%     5  260.5 260.7 260.5 260.8   0.1
################ 185.80.221.116 ##########################
Start: 2021-06-25T12:05:30+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   0.5   0.5   0.6   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.2   0.3   0.0
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.7   0.7   0.7   0.7   0.0
  4.|-- ae-12-3518.ear1.Stockholm 80.0%     5    1.1   1.1   1.1   1.1   0.0
  5.|-- ae8.cr9-stk3.ip4.gtt.net   0.0%     5    1.4   1.4   1.2   1.9   0.3
  6.|-- ae7.cr4-ams1.ip4.gtt.net   0.0%     5   28.2  26.0  25.4  28.2   1.2
  7.|-- ip4.gtt.net                0.0%     5   26.0  26.1  26.0  26.2   0.1
  8.|-- 46.23.79.129               0.0%     5   26.1  26.1  25.9  26.3   0.2
  9.|-- b950dd74.setaptr.net       0.0%     5   26.0  26.0  25.9  26.2   0.1
################ 209.97.160.74 ##########################
Start: 2021-06-25T12:05:49+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.5   0.5   0.4   0.5   0.0
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.3   0.3   0.3   0.3   0.0
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.6   0.7   0.6   0.7   0.0
  4.|-- ae-14-3520.ear1.Stockholm 80.0%     5    1.2   1.2   1.2   1.2   0.0
  5.|-- ae-13.r01.stocse01.se.bb.  0.0%     5    1.6   1.6   1.5   1.7   0.1
  6.|-- ae-7.r20.amstnl07.nl.bb.g  0.0%     5   47.4  38.2  25.3  54.6  13.0
  7.|-- ae-4.r21.vienat02.at.bb.g  0.0%     5   46.8  41.3  38.0  46.8   4.2
  8.|-- ae-0.r20.vienat02.at.bb.g  0.0%     5   41.7  41.9  39.8  44.5   1.7
  9.|-- ae-2.r21.mlanit02.it.bb.g  0.0%     5   44.5  47.0  44.5  51.6   2.9
 10.|-- ae-0.r20.mlanit02.it.bb.g  0.0%     5   48.7  47.0  42.4  51.7   3.6
 11.|-- ae-10.r22.sngpsi07.sg.bb. 20.0%     5  194.6 194.3 193.9 194.6   0.4
 12.|-- ae-2.r23.sngpsi07.sg.bb.g  0.0%     5  193.7 194.1 193.7 194.7   0.4
 13.|-- ae-1.a01.sngpsi07.sg.bb.g  0.0%     5  193.8 193.6 193.5 193.8   0.1
 14.|-- ae-1.digital-ocean.sngpsi  0.0%     5  267.3 267.3 267.3 267.5   0.1
 15.|-- 138.197.245.15             0.0%     5  259.7 259.8 259.7 259.9   0.1
################ 2.58.194.156 ##########################
Start: 2021-06-25T12:06:02+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 185.247.71.101             0.0%     5    0.6   0.5   0.4   0.6   0.1
  2.|-- xe-0-3-2-0.bb1.stk1.se.m2  0.0%     5    0.2   2.7   0.2  11.7   5.1
  3.|-- lag-105.ear2.Stockholm2.L  0.0%     5    0.6   0.6   0.6   0.7   0.0
  4.|-- ae-2-3204.edge7.Amsterdam  0.0%     5   26.8  26.1  25.2  27.5   1.1
  5.|-- BR2.Amsterdam1.surf.net    0.0%     5   25.2  25.7  25.2  26.9   0.7
  6.|-- ae0-3.RT.SRV.DRO.NL.retn.  0.0%     5   26.2  33.1  26.2  49.0  10.2
  7.|-- GW-Zenex5ive.retn.net      0.0%     5   23.6  23.6  23.6  23.6   0.0
  8.|-- 2.58.194.156               0.0%     5   23.4  23.4  23.4  23.5   0.0
################ 2.58.194.150 ##########################
Start: 2021-06-25T12:06:12+0000
HOST: ms-pro-se-sto-pr-p-7        Loss%   Snt   Last   Avg  Best  Wrst StDev
