$ cat mtr-report.txt 
################ 159.65.134.117 ##########################
Start: 2021-06-20T14:06:05+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.5   0.3   0.2   0.5   0.1
  3.|-- 198.18.202.109             0.0%     5   55.3  55.7  54.9  56.2   0.6
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.5   0.1
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  105.2 107.8 105.1 118.1   5.7
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.2 129.2 129.0 129.2   0.1
  7.|-- 100ge16-1.core1.chi1.he.n  0.0%     5  135.6 135.6 135.5 135.6   0.0
  8.|-- 100ge2-2.core2.chi1.he.ne  0.0%     5  135.8 135.6 135.6 135.8   0.1
  9.|-- 100ge14-2.core1.msp1.he.n  0.0%     5  147.5 147.6 147.5 147.7   0.1
 10.|-- 100ge11-2.core1.sea1.he.n  0.0%     5  148.6 149.1 148.6 150.7   0.9
 11.|-- 100ge11-2.core1.tyo1.he.n  0.0%     5  301.5 302.1 301.5 304.2   1.2
 12.|-- 100ge11-1.core1.sin1.he.n  0.0%     5  304.0 304.0 303.8 304.1   0.1
 13.|-- digitalocean.sgix.sg       0.0%     5  334.9 334.9 334.7 335.1   0.1
 14.|-- 138.197.245.13             0.0%     5  336.7 331.3 329.6 336.7   3.1
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 185.80.221.116 ##########################
Start: 2021-06-20T14:06:26+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.5   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.3   0.2   0.4   0.1
  3.|-- 198.18.202.109             0.0%     5   54.9  55.0  54.7  56.0   0.5
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.4 100.3 100.5   0.1
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  105.1 108.4 105.1 120.9   7.0
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.0 129.3 129.0 129.8   0.4
  7.|-- 100ge3-1.core1.ash1.he.ne  0.0%     5  132.3 132.3 132.2 132.4   0.0
  8.|-- 100ge1-1.core1.nyc4.he.ne  0.0%     5  147.3 143.6 137.1 147.9   5.6
  9.|-- 100ge7-1.core1.lon2.he.ne  0.0%     5  214.9 214.9 214.8 215.0   0.1
 10.|-- linx-224.inx.as13213.net   0.0%     5  198.6 198.6 198.5 198.9   0.1
 11.|-- no-ptr.midphase.com        0.0%     5  204.6 205.8 204.6 208.8   1.7
 12.|-- et-0-1-0.bdr2-a21-lon1-uk  0.0%     5  205.2 206.2 204.9 209.5   1.9
 13.|-- et-0-1-1.bdr1-6525-ams1-n  0.0%     5  207.8 207.6 204.4 208.8   1.8
 14.|-- 46.23.79.129               0.0%     5  204.4 207.1 204.3 215.5   4.8
 15.|-- b950dd74.setaptr.net       0.0%     5  204.5 204.4 204.3 204.5   0.1
################ 209.97.160.74 ##########################
Start: 2021-06-20T14:06:46+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.5   0.4   0.6   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.2   0.2   0.3   0.0
  3.|-- 198.18.202.109             0.0%     5   54.7  54.8  54.7  54.9   0.1
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.3 100.7 100.3 101.8   0.6
  5.|-- 100ge0-35.core2.jax1.he.n 20.0%     5  107.1 107.0 106.9 107.2   0.1
  6.|-- 100ge16-1.core1.atl1.he.n  0.0%     5  134.1 130.4 129.5 134.1   2.1
  7.|-- 100ge16-1.core1.chi1.he.n  0.0%     5  135.2 135.5 135.2 136.3   0.4
  8.|-- 100ge2-2.core2.chi1.he.ne  0.0%     5  135.5 135.4 135.3 135.5   0.1
  9.|-- 100ge14-2.core1.msp1.he.n  0.0%     5  146.9 146.9 146.8 147.1   0.1
 10.|-- 100ge11-2.core1.sea1.he.n  0.0%     5  154.0 154.4 148.1 158.5   3.9
 11.|-- 100ge11-2.core1.tyo1.he.n  0.0%     5  301.1 303.1 301.0 311.1   4.5
 12.|-- 100ge11-1.core1.sin1.he.n  0.0%     5  303.0 303.4 302.9 305.0   0.9
 13.|-- digitalocean.sgix.sg       0.0%     5  334.6 334.0 333.8 334.6   0.3
 14.|-- 138.197.245.9              0.0%     5  328.8 328.9 328.8 329.0   0.1
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 2.58.194.156 ##########################
Start: 2021-06-20T14:07:01+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   1.4   0.4   5.4   2.2
  2.|-- 10.10.0.1                  0.0%     5    0.2   0.3   0.2   0.5   0.1
  3.|-- 195.22.221.78              0.0%     5    0.9   4.2   0.9  14.4   5.8
  4.|-- 195.22.209.61              0.0%     5  213.1 235.9 212.7 324.3  49.4
  5.|-- 195.22.213.167             0.0%     5  214.5 214.5 214.4 214.7   0.1
  6.|-- 2.58.194.156               0.0%     5  218.7 218.8 218.7 218.9   0.1
################ 2.58.194.150 ##########################
Start: 2021-06-20T14:07:25+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.4   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.3   4.4   0.2  20.6   9.1
  3.|-- 195.22.221.78              0.0%     5    1.0   1.1   0.9   1.8   0.4
  4.|-- 195.22.209.61              0.0%     5  212.0 213.2 212.0 214.9   1.1
  5.|-- 195.22.213.167             0.0%     5  214.6 214.5 214.4 214.6   0.1
  6.|-- 2.58.194.150               0.0%     5  214.6 214.5 214.5 214.6   0.0
################ 68.183.236.45 ##########################
Start: 2021-06-20T14:07:42+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.4   0.4   0.4   0.5   0.0
  2.|-- 10.10.0.1                  0.0%     5    0.4   0.3   0.2   0.4   0.1
  3.|-- 198.18.202.109             0.0%     5   54.8  55.5  54.8  56.3   0.8
  4.|-- v1103.core1.mia1.he.net    0.0%     5  100.4 100.7 100.4 101.7   0.6
  5.|-- 100ge0-36.core2.tpa1.he.n  0.0%     5  123.5 109.0 105.2 123.5   8.1
  6.|-- 100ge5-2.core1.atl1.he.ne  0.0%     5  129.0 129.0 129.0 129.1   0.0
  7.|-- 100ge16-1.core1.chi1.he.n  0.0%     5  135.6 135.6 135.6 135.6   0.0
  8.|-- 100ge2-2.core2.chi1.he.ne  0.0%     5  136.6 135.9 135.5 136.6   0.5
  9.|-- 100ge14-2.core1.msp1.he.n  0.0%     5  147.3 147.2 147.2 147.3   0.1
 10.|-- 100ge11-2.core1.sea1.he.n  0.0%     5  148.2 148.4 148.2 148.6   0.2
 11.|-- 100ge11-2.core1.tyo1.he.n  0.0%     5  301.5 301.4 301.3 301.5   0.1
 12.|-- 100ge11-1.core1.sin1.he.n  0.0%     5  303.9 306.6 303.9 309.2   2.2
 13.|-- digitalocean.sgix.sg       0.0%     5  334.1 334.9 334.1 338.2   1.8
 14.|-- 138.197.245.9              0.0%     5  329.6 336.0 329.0 349.0   8.0
 15.|-- ???                       100.0     5    0.0   0.0   0.0   0.0   0.0
################ 191.96.71.40 ##########################
Start: 2021-06-20T14:07:55+0000
HOST: mh-pro-cl-scl-pr-p-2        Loss%   Snt   Last   Avg  Best  Wrst StDev
  1.|-- 66.203.113.1               0.0%     5    0.5   0.5   0.4   0.6   0.1
  2.|-- 10.10.0.1                  0.0%     5    0.4   0.8   0.3   2.8   1.1
  3.|-- 195.22.221.78              0.0%     5    1.0   0.9   0.9   1.1   0.1
  4.|-- 195.22.219.1               0.0%     5   48.1  48.0  47.9  48.1   0.1
  5.|-- 185.100.112.49             0.0%     5   78.9  57.8  48.2  78.9  13.9
